studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email,uitgevallen
20221695,Madelief van Daal-van Dooren,m.vandaal-vandooren@student.roc.nl,18,V,VMBO-T,Economie,Commercieel medewerker,90111,2022-2023,3,BOL,2022-09-01,0.62,0.744,44,8.6,3.1,Anita Jansen,a.jansen@roc.nl,False
20221696,Lot Reijers-Overdijk,l.reijers-overdijk@student.roc.nl,22,M,HAVO,Groen,Dierverzorger,97730,2022-2023,3,BOL,2022-09-01,0.616,0.64,38,5.4,7.1,Anita Jansen,a.jansen@roc.nl,False
20231697,"Jet Jacquot-West-Francië, van","j.jacquot-west-francië,van@student.roc.nl",17,M,VMBO-T,Economie,Financieel administrateur,90370,2023-2024,4,BOL,2023-09-01,0.725,0.638,31,5.1,7.4,Peter Smit,p.smit@roc.nl,False
20221698,Stella Fredriks-Mathurin,s.fredriks-mathurin@student.roc.nl,16,M,VMBO-T,Dienstverlening,Kapper,97460,2022-2023,3,BBL,2022-09-01,0.769,0.73,39,7.4,5.0,Anita Jansen,a.jansen@roc.nl,False
20221699,Noah Cornelisse,n.cornelisse@student.roc.nl,21,M,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2022-2023,2,BOL,2022-09-01,0.598,0.52,24,5.0,8.6,Fatima El Amrani,f.elamrani@roc.nl,False
20221700,Elize van der Mast,e.vandermast@student.roc.nl,20,V,VMBO-T,Economie,Financieel administrateur,90370,2022-2023,4,BOL,2022-09-01,0.768,0.753,41,7.6,8.4,Peter Smit,p.smit@roc.nl,True
20231701,Kyra van Mare,k.vanmare@student.roc.nl,24,X,VMBO-K,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.452,0.549,35,7.8,7.7,Mohammed Boukhari,m.boukhari@roc.nl,False
20231702,Pim Strik-Heijmen,p.strik-heijmen@student.roc.nl,21,V,VMBO-T,Techniek,Software Developer,25604,2023-2024,4,BOL,2023-09-01,0.937,0.851,44,9.3,8.1,Mohammed Boukhari,m.boukhari@roc.nl,False
20221703,Selena van der Stael-van Nus,s.vanderstael-vannus@student.roc.nl,20,V,VMBO-B,Techniek,Software Developer,25604,2022-2023,4,BOL,2022-09-01,0.835,0.765,49,7.7,5.1,Anita Jansen,a.jansen@roc.nl,False
20231704,Janne Ellis,j.ellis@student.roc.nl,21,V,VMBO-B,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.676,0.759,45,5.7,6.1,Jan de Vries,j.devries@roc.nl,False
20231705,Nick Bouthoorn,n.bouthoorn@student.roc.nl,23,V,MBO niveau 3,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.931,0.82,39,5.9,4.2,Jan de Vries,j.devries@roc.nl,False
20221706,Quinten Keijser,q.keijser@student.roc.nl,21,V,MBO niveau 2,Dienstverlening,Gastvrouw/-heer,90191,2022-2023,3,BOL,2022-09-01,0.944,0.794,40,6.6,7.2,Anita Jansen,a.jansen@roc.nl,False
20231707,Maja van Buuren-The Elder,m.vanbuuren-theelder@student.roc.nl,16,V,VMBO-K,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.954,0.912,46,6.3,6.8,Jan de Vries,j.devries@roc.nl,False
20221708,Loes Mathieu,l.mathieu@student.roc.nl,17,M,MBO niveau 2,Economie,Financieel administrateur,90370,2022-2023,4,BOL,2022-09-01,0.704,0.573,33,7.7,8.0,Mohammed Boukhari,m.boukhari@roc.nl,False
20221709,Adriana van Ham,a.vanham@student.roc.nl,23,V,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.699,0.679,44,5.7,5.9,Jan de Vries,j.devries@roc.nl,False
20231710,Dirk van Beaumont-Oda,d.vanbeaumont-oda@student.roc.nl,19,V,VMBO-T,Economie,Manager handel,90202,2023-2024,4,BBL,2023-09-01,0.507,0.648,33,5.0,6.1,Peter Smit,p.smit@roc.nl,False
20231711,Selena Beijring,s.beijring@student.roc.nl,19,X,VMBO-B,Groen,Medewerker voedsel,97590,2023-2024,2,BOL,2023-09-01,0.718,0.73,35,6.9,6.5,Fatima El Amrani,f.elamrani@roc.nl,False
20221712,Berat van Dam,b.vandam@student.roc.nl,20,V,VMBO-K,Groen,Medewerker voedsel,97590,2022-2023,2,BOL,2022-09-01,0.669,0.744,44,7.0,4.4,Peter Smit,p.smit@roc.nl,False
20221713,Esther Strijker,e.strijker@student.roc.nl,19,V,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.438,0.441,29,6.9,5.7,Anita Jansen,a.jansen@roc.nl,True
20221714,Dani van de Pol-Blom,d.vandepol-blom@student.roc.nl,16,M,HAVO,Techniek,Software Developer,25604,2022-2023,4,BOL,2022-09-01,0.808,0.689,39,4.6,6.0,Peter Smit,p.smit@roc.nl,True
20221715,Jelle Hoekstra-Muijs,j.hoekstra-muijs@student.roc.nl,22,V,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.379,0.56,35,6.8,5.6,Fatima El Amrani,f.elamrani@roc.nl,False
20221716,Faas van Wallaert,f.vanwallaert@student.roc.nl,20,V,MBO niveau 3,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.802,0.791,47,7.9,4.6,Anita Jansen,a.jansen@roc.nl,False
20231717,Hamza Post,h.post@student.roc.nl,17,M,VMBO-T,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.78,0.823,44,8.7,5.5,Jan de Vries,j.devries@roc.nl,False
20231718,Hamza van Munster,h.vanmunster@student.roc.nl,22,X,HAVO,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.849,0.604,24,7.0,4.7,Jan de Vries,j.devries@roc.nl,False
20221719,Annemijn van Luin-Blokland,a.vanluin-blokland@student.roc.nl,21,M,VMBO-B,Groen,Dierverzorger,97730,2022-2023,3,BOL,2022-09-01,0.714,0.746,30,5.4,5.6,Anita Jansen,a.jansen@roc.nl,False
20221720,Maaike van Kasteelen,m.vankasteelen@student.roc.nl,19,V,VMBO-K,Zorg,Verzorgende IG,93500,2022-2023,3,BBL,2022-09-01,0.765,0.666,32,8.3,7.0,Mohammed Boukhari,m.boukhari@roc.nl,False
20231721,Maja Lamore,m.lamore@student.roc.nl,23,V,VMBO-T,Groen,Dierverzorger,97730,2023-2024,3,BBL,2023-09-01,0.672,0.764,41,5.7,6.4,Fatima El Amrani,f.elamrani@roc.nl,False
20231722,Aaron van de Wiel,a.vandewiel@student.roc.nl,18,V,MBO niveau 2,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.902,0.689,41,7.2,5.8,Fatima El Amrani,f.elamrani@roc.nl,True
20221723,Lise Cornelissen,l.cornelissen@student.roc.nl,23,M,VMBO-K,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.687,0.663,42,7.0,4.6,Fatima El Amrani,f.elamrani@roc.nl,False
20221724,Lara Jeggij,l.jeggij@student.roc.nl,22,M,VMBO-K,Economie,Manager handel,90202,2022-2023,4,BBL,2022-09-01,0.789,0.749,34,8.5,3.8,Fatima El Amrani,f.elamrani@roc.nl,False
20231725,Tim Adriaensdr,t.adriaensdr@student.roc.nl,22,V,VMBO-T,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.833,0.854,45,6.4,6.2,Mohammed Boukhari,m.boukhari@roc.nl,True
20221726,Wessel van der Heijden,w.vanderheijden@student.roc.nl,22,V,HAVO,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.791,0.728,46,5.1,7.5,Fatima El Amrani,f.elamrani@roc.nl,False
20231727,Victoria Grondel-de Swart,v.grondel-deswart@student.roc.nl,22,V,HAVO,Zorg,Helpende Zorg & Welzijn,92640,2023-2024,2,BOL,2023-09-01,0.609,0.488,29,7.4,7.0,Peter Smit,p.smit@roc.nl,False
20221728,Sofie Bos,s.bos@student.roc.nl,16,V,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.43,0.457,26,7.4,9.1,Mohammed Boukhari,m.boukhari@roc.nl,True
20231729,Linn Volcke,l.volcke@student.roc.nl,16,V,MBO niveau 3,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BBL,2023-09-01,0.484,0.554,32,4.7,6.3,Anita Jansen,a.jansen@roc.nl,False
20221730,Anouk Aalts-Spiker,a.aalts-spiker@student.roc.nl,19,M,HAVO,Economie,Manager handel,90202,2022-2023,4,BOL,2022-09-01,0.644,0.73,38,8.2,6.4,Anita Jansen,a.jansen@roc.nl,False
20231731,Levi van Leeuwen-Verkade,l.vanleeuwen-verkade@student.roc.nl,19,V,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BBL,2023-09-01,0.948,0.66,40,5.4,6.8,Peter Smit,p.smit@roc.nl,False
20231732,Sterre Vos,s.vos@student.roc.nl,22,M,VMBO-K,Techniek,Installatiemonteur,25480,2023-2024,2,BBL,2023-09-01,0.92,0.862,42,6.9,7.2,Fatima El Amrani,f.elamrani@roc.nl,False
20221733,Yara Takkelenburg,y.takkelenburg@student.roc.nl,19,M,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BBL,2022-09-01,0.773,0.81,46,7.3,7.7,Jan de Vries,j.devries@roc.nl,False
20221734,Gijs Aarden,g.aarden@student.roc.nl,20,M,VMBO-B,Groen,Medewerker voedsel,97590,2022-2023,2,BBL,2022-09-01,0.868,0.656,35,4.1,4.9,Mohammed Boukhari,m.boukhari@roc.nl,True
20231735,Jayden Laffray,j.laffray@student.roc.nl,17,M,HAVO,Economie,Financieel administrateur,90370,2023-2024,4,BBL,2023-09-01,0.735,0.723,46,5.1,5.5,Mohammed Boukhari,m.boukhari@roc.nl,False
20231736,Hidde Lijn,h.lijn@student.roc.nl,21,M,MBO niveau 2,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.902,0.634,38,6.4,5.7,Peter Smit,p.smit@roc.nl,False
20231737,Zara van Gils,z.vangils@student.roc.nl,22,M,VMBO-B,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BBL,2023-09-01,0.469,0.597,36,5.7,4.3,Mohammed Boukhari,m.boukhari@roc.nl,True
20221738,Yinthe van der Heijden,y.vanderheijden@student.roc.nl,24,V,VMBO-K,Economie,Financieel administrateur,90370,2022-2023,4,BOL,2022-09-01,0.741,0.799,47,7.5,8.2,Peter Smit,p.smit@roc.nl,True
20231739,Jolijn Hulskes,j.hulskes@student.roc.nl,22,M,VMBO-K,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.827,0.891,48,9.7,6.4,Jan de Vries,j.devries@roc.nl,True
20231740,Demi van Dam,d.vandam@student.roc.nl,26,V,MBO niveau 2,Techniek,Netwerkbeheerder,93200,2023-2024,4,BBL,2023-09-01,0.576,0.64,31,3.4,3.6,Fatima El Amrani,f.elamrani@roc.nl,False
20221741,Hannah van Luin,h.vanluin@student.roc.nl,18,V,VMBO-T,Zorg,Verzorgende IG,93500,2022-2023,3,BBL,2022-09-01,0.976,0.903,45,6.6,6.3,Jan de Vries,j.devries@roc.nl,False
20221742,Senna Lage,s.lage@student.roc.nl,17,M,VMBO-T,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.616,0.55,32,4.2,7.1,Jan de Vries,j.devries@roc.nl,False
20231743,Lizzy van Luxemburg,l.vanluxemburg@student.roc.nl,19,V,MBO niveau 3,Economie,Manager handel,90202,2023-2024,4,BOL,2023-09-01,0.898,0.81,42,7.5,9.1,Fatima El Amrani,f.elamrani@roc.nl,False
20221744,Yusuf van Verdun-Ooms,y.vanverdun-ooms@student.roc.nl,21,M,HAVO,Zorg,Verpleegkundige,99070,2022-2023,4,BOL,2022-09-01,0.779,0.738,54,5.5,5.8,Fatima El Amrani,f.elamrani@roc.nl,False
20221745,Kyano Schilt,k.schilt@student.roc.nl,23,M,VMBO-T,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.804,0.72,38,6.1,8.7,Peter Smit,p.smit@roc.nl,False
20231746,Noor Roosenboom-van den Oever,n.roosenboom-vandenoever@student.roc.nl,17,V,MBO niveau 2,Zorg,Doktersassistent,34576,2023-2024,4,BBL,2023-09-01,0.665,0.553,30,7.7,6.4,Anita Jansen,a.jansen@roc.nl,True
20231747,Sara Hanegraaff,s.hanegraaff@student.roc.nl,23,M,MBO niveau 3,Dienstverlening,Kapper,97460,2023-2024,3,BBL,2023-09-01,0.844,0.807,45,5.9,8.4,Fatima El Amrani,f.elamrani@roc.nl,False
20231748,Raf Jurrijens,r.jurrijens@student.roc.nl,17,M,MBO niveau 2,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.266,0.338,29,4.7,3.9,Anita Jansen,a.jansen@roc.nl,False
20231749,Fien van Rooij,f.vanrooij@student.roc.nl,17,V,VMBO-B,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.679,0.618,34,6.6,7.8,Anita Jansen,a.jansen@roc.nl,False
20231750,Ceylin Jansen,c.jansen@student.roc.nl,24,V,VMBO-T,Techniek,Software Developer,25604,2023-2024,4,BOL,2023-09-01,0.416,0.617,37,6.4,5.8,Fatima El Amrani,f.elamrani@roc.nl,True
20221751,Tijmen van Bovene-Briere,t.vanbovene-briere@student.roc.nl,16,M,HAVO,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.673,0.647,39,6.0,8.1,Anita Jansen,a.jansen@roc.nl,False
20231752,Maria Drysdale,m.drysdale@student.roc.nl,16,M,MBO niveau 2,Economie,Commercieel medewerker,90111,2023-2024,3,BBL,2023-09-01,0.628,0.627,41,5.7,4.3,Jan de Vries,j.devries@roc.nl,False
20221753,Pim van der Ven,p.vanderven@student.roc.nl,23,V,VMBO-T,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.736,0.665,29,6.2,7.6,Jan de Vries,j.devries@roc.nl,True
20221754,Marit Blom,m.blom@student.roc.nl,17,M,MBO niveau 2,Dienstverlening,Kapper,97460,2022-2023,3,BOL,2022-09-01,0.466,0.596,30,7.5,6.9,Anita Jansen,a.jansen@roc.nl,True
20231755,Hailey Wigman-Hanegraaff,h.wigman-hanegraaff@student.roc.nl,18,M,MBO niveau 2,Economie,Financieel administrateur,90370,2023-2024,4,BOL,2023-09-01,0.597,0.725,41,7.3,6.2,Peter Smit,p.smit@roc.nl,False
20231756,Alicia Uit de Willigen-Bruijne van der Veen,a.uitdewilligen-bruijnevanderveen@student.roc.nl,22,M,VMBO-T,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.271,0.426,19,6.9,3.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20231757,Jennifer Knoers-van Beek,j.knoers-vanbeek@student.roc.nl,16,M,MBO niveau 3,Economie,Commercieel medewerker,90111,2023-2024,3,BOL,2023-09-01,0.509,0.502,31,7.4,5.6,Mohammed Boukhari,m.boukhari@roc.nl,True
20221758,Lieke de Marduras,l.demarduras@student.roc.nl,19,M,VMBO-K,Dienstverlening,Kapper,97460,2022-2023,3,BOL,2022-09-01,0.831,0.805,38,4.1,5.5,Jan de Vries,j.devries@roc.nl,False
20221759,Elena Hoelen,e.hoelen@student.roc.nl,21,V,VMBO-K,Dienstverlening,Gastvrouw/-heer,90191,2022-2023,3,BBL,2022-09-01,0.667,0.751,48,7.2,7.1,Peter Smit,p.smit@roc.nl,False
20231760,Sem Peronne,s.peronne@student.roc.nl,22,V,MBO niveau 2,Techniek,Installatiemonteur,25480,2023-2024,2,BBL,2023-09-01,0.953,0.838,43,6.8,4.9,Anita Jansen,a.jansen@roc.nl,False
20221761,Chris Kathagen,c.kathagen@student.roc.nl,22,M,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2022-2023,2,BOL,2022-09-01,0.678,0.721,43,7.0,6.3,Mohammed Boukhari,m.boukhari@roc.nl,False
20221762,Philip Lambers,p.lambers@student.roc.nl,20,V,VMBO-K,Zorg,Verpleegkundige,99070,2022-2023,4,BBL,2022-09-01,0.819,0.826,45,7.0,7.2,Fatima El Amrani,f.elamrani@roc.nl,False
20231763,Maria Cadefau,m.cadefau@student.roc.nl,19,V,MBO niveau 3,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.569,0.598,42,8.3,6.5,Jan de Vries,j.devries@roc.nl,False
20221764,Stella Schatteleijn-Vertooren,s.schatteleijn-vertooren@student.roc.nl,19,V,MBO niveau 2,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.551,0.49,25,5.8,5.8,Peter Smit,p.smit@roc.nl,False
20221765,Jonathan van Beieren,j.vanbeieren@student.roc.nl,21,M,MBO niveau 2,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.679,0.628,25,6.8,8.4,Peter Smit,p.smit@roc.nl,False
20221766,Marinus Sanders-Koster,m.sanders-koster@student.roc.nl,16,M,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2022-2023,3,BOL,2022-09-01,0.826,0.742,48,5.6,6.8,Jan de Vries,j.devries@roc.nl,False
20231767,Timo Le Grand,t.legrand@student.roc.nl,24,M,HAVO,Economie,Logistiek medewerker,90640,2023-2024,3,BBL,2023-09-01,0.755,0.775,33,6.6,5.3,Jan de Vries,j.devries@roc.nl,False
20231768,Cato Kok,c.kok@student.roc.nl,22,V,VMBO-K,Economie,Commercieel medewerker,90111,2023-2024,3,BOL,2023-09-01,0.829,0.679,32,8.8,7.2,Jan de Vries,j.devries@roc.nl,False
20231769,Sophie van Ham,s.vanham@student.roc.nl,20,M,MBO niveau 2,Zorg,Verpleegkundige,99070,2023-2024,4,BBL,2023-09-01,0.613,0.613,31,8.4,4.2,Jan de Vries,j.devries@roc.nl,False
20221770,Kim Serra,k.serra@student.roc.nl,16,V,HAVO,Groen,Medewerker voedsel,97590,2022-2023,2,BOL,2022-09-01,0.853,0.852,44,3.0,8.4,Anita Jansen,a.jansen@roc.nl,False
20231771,Frederique van der Sloot,f.vandersloot@student.roc.nl,19,M,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2023-2024,2,BBL,2023-09-01,0.596,0.713,33,7.8,3.9,Peter Smit,p.smit@roc.nl,False
20221772,Duuk van Kempen,d.vankempen@student.roc.nl,19,V,MBO niveau 3,Groen,Medewerker voedsel,97590,2022-2023,2,BOL,2022-09-01,0.976,0.865,54,7.3,5.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20221773,Maurits Boogaerts,m.boogaerts@student.roc.nl,16,M,MBO niveau 2,Dienstverlening,Gastvrouw/-heer,90191,2022-2023,3,BBL,2022-09-01,0.852,0.73,44,7.9,9.1,Anita Jansen,a.jansen@roc.nl,True
20231774,Rens Meyer-Giselmeyer,r.meyer-giselmeyer@student.roc.nl,17,V,MBO niveau 2,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.736,0.668,34,6.7,6.9,Anita Jansen,a.jansen@roc.nl,False
20231775,Hendrik van Salm,h.vansalm@student.roc.nl,16,M,MBO niveau 2,Techniek,Elektrotechniek,25160,2023-2024,3,BBL,2023-09-01,0.574,0.526,28,7.8,6.2,Jan de Vries,j.devries@roc.nl,False
20231776,Ceylin Pison,c.pison@student.roc.nl,20,V,VMBO-B,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.92,0.826,50,6.8,6.7,Jan de Vries,j.devries@roc.nl,False
20221777,Michael van Berkel,m.vanberkel@student.roc.nl,16,V,MBO niveau 2,Dienstverlening,Kok,25185,2022-2023,2,BBL,2022-09-01,0.582,0.547,29,6.6,6.8,Mohammed Boukhari,m.boukhari@roc.nl,True
20231778,Daniel Michiels,d.michiels@student.roc.nl,22,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.818,0.728,42,5.1,5.1,Fatima El Amrani,f.elamrani@roc.nl,False
20221779,Julius Scholten,j.scholten@student.roc.nl,18,M,VMBO-T,Zorg,Doktersassistent,34576,2022-2023,4,BOL,2022-09-01,0.55,0.632,34,7.0,7.7,Fatima El Amrani,f.elamrani@roc.nl,True
20231780,Elisa Kuijpers-Michielsen,e.kuijpers-michielsen@student.roc.nl,20,M,VMBO-B,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.919,0.801,41,4.9,8.2,Fatima El Amrani,f.elamrani@roc.nl,False
20231781,Floris Holthuis,f.holthuis@student.roc.nl,16,M,MBO niveau 3,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.778,0.734,42,6.5,6.1,Fatima El Amrani,f.elamrani@roc.nl,False
20231782,Aimée van Wijland,a.vanwijland@student.roc.nl,19,M,HAVO,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.905,0.808,38,7.7,4.4,Jan de Vries,j.devries@roc.nl,False
20221783,Niek Adriaansen,n.adriaansen@student.roc.nl,16,M,VMBO-T,Economie,Logistiek medewerker,90640,2022-2023,3,BOL,2022-09-01,0.95,0.9,50,5.8,6.2,Jan de Vries,j.devries@roc.nl,False
20221784,Phileine Krabbe,p.krabbe@student.roc.nl,19,M,MBO niveau 3,Groen,Dierverzorger,97730,2022-2023,3,BOL,2022-09-01,0.563,0.691,26,8.0,6.0,Peter Smit,p.smit@roc.nl,False
20221785,Tom Kosten,t.kosten@student.roc.nl,16,M,HAVO,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.473,0.571,28,7.7,7.9,Mohammed Boukhari,m.boukhari@roc.nl,False
20231786,Alex Lelijveld,a.lelijveld@student.roc.nl,19,M,VMBO-T,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.924,0.893,58,8.5,5.9,Peter Smit,p.smit@roc.nl,False
20231787,Joey Tuithof,j.tuithof@student.roc.nl,18,V,MBO niveau 3,Dienstverlening,Kapper,97460,2023-2024,3,BBL,2023-09-01,0.901,0.797,40,7.7,5.1,Fatima El Amrani,f.elamrani@roc.nl,True
20231788,Kyra van Oirschot,k.vanoirschot@student.roc.nl,17,M,MBO niveau 2,Zorg,Verpleegkundige,99070,2023-2024,4,BOL,2023-09-01,0.932,0.746,44,7.6,7.4,Peter Smit,p.smit@roc.nl,True
20221789,Sam Risma,s.risma@student.roc.nl,20,M,HAVO,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.852,0.841,46,6.7,6.7,Anita Jansen,a.jansen@roc.nl,False
20231790,Bo Willems-Hollander,b.willems-hollander@student.roc.nl,16,M,MBO niveau 2,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.737,0.676,40,5.2,5.9,Jan de Vries,j.devries@roc.nl,False
20221791,Jayson Spanhaak-van Santen,j.spanhaak-vansanten@student.roc.nl,20,M,VMBO-T,Zorg,Doktersassistent,34576,2022-2023,4,BOL,2022-09-01,0.712,0.657,33,7.2,6.5,Peter Smit,p.smit@roc.nl,False
20231792,Casper Walter,c.walter@student.roc.nl,17,V,VMBO-T,Techniek,Netwerkbeheerder,93200,2023-2024,4,BOL,2023-09-01,0.561,0.534,44,4.6,6.3,Jan de Vries,j.devries@roc.nl,True
20231793,Kaylee Louws,k.louws@student.roc.nl,22,V,VMBO-T,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.167,0.381,35,7.6,4.0,Peter Smit,p.smit@roc.nl,True
20221794,Nina Room,n.room@student.roc.nl,17,V,MBO niveau 3,Economie,Commercieel medewerker,90111,2022-2023,3,BOL,2022-09-01,0.653,0.708,48,8.6,4.2,Jan de Vries,j.devries@roc.nl,True
20221795,Silke de Backer,s.debacker@student.roc.nl,25,M,VMBO-T,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.883,0.728,36,6.2,6.0,Jan de Vries,j.devries@roc.nl,True
20231796,Sil Walter,s.walter@student.roc.nl,18,V,MBO niveau 2,Economie,Logistiek medewerker,90640,2023-2024,3,BOL,2023-09-01,0.426,0.591,36,6.8,7.7,Fatima El Amrani,f.elamrani@roc.nl,False
20231797,Nout de Haan,n.dehaan@student.roc.nl,18,M,MBO niveau 2,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.835,0.804,44,8.2,6.3,Peter Smit,p.smit@roc.nl,False
20231798,Nisa van de Brink-Aelftrud van Wessex,n.vandebrink-aelftrudvanwessex@student.roc.nl,20,M,VMBO-T,Economie,Manager handel,90202,2023-2024,4,BOL,2023-09-01,0.78,0.63,43,5.7,7.2,Jan de Vries,j.devries@roc.nl,True
20231799,Nynke Wensen,n.wensen@student.roc.nl,18,M,VMBO-B,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.708,0.651,42,4.9,7.5,Fatima El Amrani,f.elamrani@roc.nl,True
20231800,Simon van den Wittenboer-Moensendijk,s.vandenwittenboer-moensendijk@student.roc.nl,17,V,HAVO,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.772,0.79,44,7.2,7.1,Jan de Vries,j.devries@roc.nl,True
20231801,Merijn Blonk,m.blonk@student.roc.nl,21,M,VMBO-T,Economie,Financieel administrateur,90370,2023-2024,4,BBL,2023-09-01,0.76,0.683,42,6.9,4.6,Peter Smit,p.smit@roc.nl,False
20221802,Wouter Moenen,w.moenen@student.roc.nl,16,V,VMBO-B,Groen,Dierverzorger,97730,2022-2023,3,BOL,2022-09-01,0.868,0.781,41,5.9,6.7,Fatima El Amrani,f.elamrani@roc.nl,False
20221803,"Dewi Bourgondië, van","d.bourgondië,van@student.roc.nl",16,V,MBO niveau 2,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.769,0.599,35,7.6,7.5,Fatima El Amrani,f.elamrani@roc.nl,False
20231804,Fabian Claesner,f.claesner@student.roc.nl,16,M,MBO niveau 2,Economie,Commercieel medewerker,90111,2023-2024,3,BBL,2023-09-01,0.946,0.729,38,4.5,4.8,Jan de Vries,j.devries@roc.nl,False
20231805,Lara Scardino,l.scardino@student.roc.nl,17,V,MBO niveau 3,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.526,0.525,32,7.0,4.9,Peter Smit,p.smit@roc.nl,False
20231806,Myrthe Estey,m.estey@student.roc.nl,23,V,VMBO-K,Techniek,Netwerkbeheerder,93200,2023-2024,4,BBL,2023-09-01,0.577,0.475,29,5.8,6.7,Peter Smit,p.smit@roc.nl,False
20221807,Victoria Rademaker-Scholten,v.rademaker-scholten@student.roc.nl,17,M,VMBO-T,Techniek,Elektrotechniek,25160,2022-2023,3,BOL,2022-09-01,0.731,0.762,45,7.7,6.5,Mohammed Boukhari,m.boukhari@roc.nl,False
20221808,Joep Tammerijn,j.tammerijn@student.roc.nl,18,V,HAVO,Economie,Financieel administrateur,90370,2022-2023,4,BOL,2022-09-01,0.855,0.724,34,7.4,5.6,Peter Smit,p.smit@roc.nl,False
20221809,Vera François,v.françois@student.roc.nl,23,V,VMBO-T,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.743,0.817,37,7.8,7.2,Fatima El Amrani,f.elamrani@roc.nl,False
20221810,Jolijn van Clootwijck-Dirksen,j.vanclootwijck-dirksen@student.roc.nl,17,M,VMBO-T,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.89,0.768,35,7.1,5.2,Anita Jansen,a.jansen@roc.nl,False
