studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email
20240251,Bradley van Westfalen,b.vanwestfalen@student.roc.nl,20,V,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.781,0.813,49,7.0,9.5,Mohammed Boukhari,m.boukhari@roc.nl
20240252,Nadine Louws,n.louws@student.roc.nl,19,V,HAVO,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BBL,2024-09-01,0.791,0.811,49,6.3,6.3,Anita Jansen,a.jansen@roc.nl
20240253,Lois Schroeff-van de Veen,l.schroeff-vandeveen@student.roc.nl,16,M,VMBO-B,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.523,0.626,39,5.7,6.5,Mohammed Boukhari,m.boukhari@roc.nl
20240254,Elena Schuylenborch,e.schuylenborch@student.roc.nl,17,V,VMBO-T,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.914,0.854,46,7.8,6.2,Peter Smit,p.smit@roc.nl
20240255,Linn Bernaards,l.bernaards@student.roc.nl,21,M,VMBO-T,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.584,0.551,29,6.8,6.8,Peter Smit,p.smit@roc.nl
20240256,Senna de Werd,s.dewerd@student.roc.nl,19,M,VMBO-T,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.505,0.572,31,7.9,7.4,Fatima El Amrani,f.elamrani@roc.nl
20240257,Beau Tillmanno,b.tillmanno@student.roc.nl,23,V,MBO niveau 2,Groen,Medewerker voedsel,97590,2024-2025,2,BBL,2024-09-01,0.395,0.586,25,7.3,7.4,Jan de Vries,j.devries@roc.nl
20240258,Mare Klein-van der Veiver,m.klein-vanderveiver@student.roc.nl,21,M,VMBO-T,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.775,0.784,46,5.9,7.1,Mohammed Boukhari,m.boukhari@roc.nl
20240259,Maria Ridder-Molegraaf,m.ridder-molegraaf@student.roc.nl,23,V,VMBO-K,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.537,0.618,34,6.4,4.9,Jan de Vries,j.devries@roc.nl
20240260,Ise Mol,i.mol@student.roc.nl,21,X,VMBO-B,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.641,0.696,30,6.8,9.1,Fatima El Amrani,f.elamrani@roc.nl
20240261,Pepijn Knoers,p.knoers@student.roc.nl,18,V,MBO niveau 3,Economie,Financieel administrateur,90370,2024-2025,4,BBL,2024-09-01,0.747,0.747,34,7.3,4.4,Jan de Vries,j.devries@roc.nl
20240262,Yusuf Sterkman,y.sterkman@student.roc.nl,16,V,MBO niveau 3,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.694,0.692,40,4.1,5.2,Anita Jansen,a.jansen@roc.nl
20240263,Inaya Erhout,i.erhout@student.roc.nl,16,M,VMBO-T,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.818,0.795,38,8.2,5.1,Anita Jansen,a.jansen@roc.nl
20240264,Linde Luster,l.luster@student.roc.nl,16,V,MBO niveau 3,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.201,0.324,20,6.5,6.6,Peter Smit,p.smit@roc.nl
20240265,Pieter Wensen,p.wensen@student.roc.nl,19,V,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.826,0.854,48,7.2,9.1,Anita Jansen,a.jansen@roc.nl
20240266,Ruben van den Velden-Pieters,r.vandenvelden-pieters@student.roc.nl,23,M,HAVO,Zorg,Doktersassistent,34576,2024-2025,4,BBL,2024-09-01,0.766,0.704,35,5.4,5.2,Mohammed Boukhari,m.boukhari@roc.nl
20240267,Sep Hoekstra,s.hoekstra@student.roc.nl,20,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BBL,2024-09-01,0.881,0.632,42,8.4,5.7,Mohammed Boukhari,m.boukhari@roc.nl
20240268,Sanne Boer,s.boer@student.roc.nl,18,V,VMBO-B,Groen,Medewerker voedsel,97590,2024-2025,2,BBL,2024-09-01,0.633,0.717,49,7.1,5.7,Peter Smit,p.smit@roc.nl
20240269,Alexander Hehl,a.hehl@student.roc.nl,18,M,VMBO-K,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.43,0.469,21,5.5,8.0,Fatima El Amrani,f.elamrani@roc.nl
20240270,Jack van Kusen,j.vankusen@student.roc.nl,19,V,MBO niveau 2,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.548,0.574,44,7.0,2.9,Anita Jansen,a.jansen@roc.nl
20240271,Esther de Nijs,e.denijs@student.roc.nl,20,M,MBO niveau 3,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.811,0.838,46,5.6,5.7,Jan de Vries,j.devries@roc.nl
20240272,Sjoerd Uit de Willigen,s.uitdewilligen@student.roc.nl,21,V,VMBO-T,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.43,0.525,30,4.1,7.8,Fatima El Amrani,f.elamrani@roc.nl
20240273,Thijmen Everts,t.everts@student.roc.nl,18,V,MBO niveau 2,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.347,0.538,28,7.6,5.7,Jan de Vries,j.devries@roc.nl
20240274,Dewi Simons,d.simons@student.roc.nl,21,M,MBO niveau 3,Zorg,Verzorgende IG,93500,2024-2025,3,BBL,2024-09-01,0.518,0.528,28,5.2,8.7,Jan de Vries,j.devries@roc.nl
20240275,Aya van der Klijn,a.vanderklijn@student.roc.nl,16,V,MBO niveau 3,Dienstverlening,Kapper,97460,2024-2025,3,BBL,2024-09-01,0.528,0.585,37,4.6,8.5,Anita Jansen,a.jansen@roc.nl
20240276,Sarah Huls,s.huls@student.roc.nl,16,V,VMBO-T,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.821,0.735,48,6.6,8.1,Peter Smit,p.smit@roc.nl
20240277,Dana Molegraaf,d.molegraaf@student.roc.nl,19,M,MBO niveau 3,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.834,0.707,46,8.0,7.4,Jan de Vries,j.devries@roc.nl
20240278,Hailey van Wijland,h.vanwijland@student.roc.nl,16,V,MBO niveau 3,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.854,0.662,42,6.1,7.4,Peter Smit,p.smit@roc.nl
20240279,Maud Berends,m.berends@student.roc.nl,20,M,MBO niveau 2,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.817,0.765,41,5.1,6.9,Mohammed Boukhari,m.boukhari@roc.nl
20240280,Louise van Orleans,l.vanorleans@student.roc.nl,18,V,VMBO-T,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BBL,2024-09-01,0.763,0.663,36,9.5,5.1,Fatima El Amrani,f.elamrani@roc.nl
20240281,Kai van der Hoeven,k.vanderhoeven@student.roc.nl,25,M,MBO niveau 3,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.844,0.8,45,6.8,5.4,Peter Smit,p.smit@roc.nl
20240282,Vajèn Krabbe,v.krabbe@student.roc.nl,21,X,VMBO-B,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.809,0.852,43,4.9,7.9,Fatima El Amrani,f.elamrani@roc.nl
20240283,Kyan Verhoeven,k.verhoeven@student.roc.nl,17,M,VMBO-T,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.522,0.63,41,7.6,6.0,Mohammed Boukhari,m.boukhari@roc.nl
20240284,Dewi Scardino,d.scardino@student.roc.nl,16,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.897,0.732,42,8.8,4.2,Jan de Vries,j.devries@roc.nl
20240285,Mads van Grondelle,m.vangrondelle@student.roc.nl,17,X,VMBO-B,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.756,0.675,36,8.1,6.5,Fatima El Amrani,f.elamrani@roc.nl
20240286,Yara Fredriks,y.fredriks@student.roc.nl,17,V,VMBO-K,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.816,0.758,43,6.4,7.0,Anita Jansen,a.jansen@roc.nl
20240287,Emir van Noort,e.vannoort@student.roc.nl,20,V,MBO niveau 2,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.66,0.619,31,3.7,5.6,Jan de Vries,j.devries@roc.nl
20240288,Tobias Pauwels,t.pauwels@student.roc.nl,22,M,VMBO-B,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.627,0.564,41,6.9,5.8,Peter Smit,p.smit@roc.nl
20240289,Mohamed Gerritse,m.gerritse@student.roc.nl,22,V,VMBO-K,Techniek,Netwerkbeheerder,93200,2024-2025,4,BBL,2024-09-01,0.497,0.538,33,5.3,8.0,Anita Jansen,a.jansen@roc.nl
20240290,Guusje Fiere,g.fiere@student.roc.nl,20,M,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.41,0.425,26,6.6,7.4,Anita Jansen,a.jansen@roc.nl
20240291,Joris Oosterhout,j.oosterhout@student.roc.nl,18,M,HAVO,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.887,0.841,40,6.2,5.5,Jan de Vries,j.devries@roc.nl
20240292,Joey Marchal,j.marchal@student.roc.nl,22,V,VMBO-K,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.782,0.667,35,6.8,6.1,Peter Smit,p.smit@roc.nl
20240293,Bram Vrancken,b.vrancken@student.roc.nl,18,M,VMBO-B,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.81,0.75,37,3.6,5.7,Peter Smit,p.smit@roc.nl
20240294,Silke Bud-Versluijs,s.bud-versluijs@student.roc.nl,20,M,MBO niveau 3,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.915,0.868,43,5.2,4.2,Mohammed Boukhari,m.boukhari@roc.nl
20240295,Ben Hoogers,b.hoogers@student.roc.nl,23,V,VMBO-B,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.598,0.629,33,4.4,6.6,Peter Smit,p.smit@roc.nl
20240296,Noëlle Keijzer-Helmerhorst,n.keijzer-helmerhorst@student.roc.nl,21,M,VMBO-K,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.851,0.637,34,7.0,6.5,Peter Smit,p.smit@roc.nl
20240297,Felix Meis-Kosten,f.meis-kosten@student.roc.nl,19,M,VMBO-B,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.922,0.833,34,6.3,6.3,Peter Smit,p.smit@roc.nl
20240298,Nadia Kisman,n.kisman@student.roc.nl,22,M,MBO niveau 2,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.739,0.798,35,7.7,6.7,Anita Jansen,a.jansen@roc.nl
20240299,Rick Verhoeven-Hoppenbrouwer,r.verhoeven-hoppenbrouwer@student.roc.nl,25,V,VMBO-K,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.865,0.808,46,5.5,7.8,Peter Smit,p.smit@roc.nl
20240300,Isabel Peeters,i.peeters@student.roc.nl,20,M,HAVO,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.742,0.681,36,8.1,5.1,Mohammed Boukhari,m.boukhari@roc.nl
20240301,Nadia Bijlsma,n.bijlsma@student.roc.nl,16,V,MBO niveau 3,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.973,0.821,46,7.7,5.7,Peter Smit,p.smit@roc.nl
20240302,Tycho Hagendoorn,t.hagendoorn@student.roc.nl,21,V,MBO niveau 2,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.938,0.812,42,6.7,6.3,Fatima El Amrani,f.elamrani@roc.nl
20240303,Maud Waardeloo,m.waardeloo@student.roc.nl,25,M,MBO niveau 3,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.708,0.718,39,8.2,3.6,Anita Jansen,a.jansen@roc.nl
20240304,Jolijn Tammerijn,j.tammerijn@student.roc.nl,16,M,HAVO,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.83,0.845,40,6.7,7.6,Fatima El Amrani,f.elamrani@roc.nl
20240305,Sam Bökenkamp,s.bökenkamp@student.roc.nl,17,M,HAVO,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.94,0.912,47,4.8,7.2,Anita Jansen,a.jansen@roc.nl
20240306,Catharina Aertsz,c.aertsz@student.roc.nl,17,M,HAVO,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.69,0.766,40,7.8,7.1,Anita Jansen,a.jansen@roc.nl
20240307,Lindsey Lemmens,l.lemmens@student.roc.nl,18,M,VMBO-K,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.765,0.729,33,5.3,5.1,Anita Jansen,a.jansen@roc.nl
20240308,Johannes van der Linden-Gerritse,j.vanderlinden-gerritse@student.roc.nl,21,M,VMBO-B,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.682,0.614,30,6.0,6.1,Anita Jansen,a.jansen@roc.nl
20240309,Mees le Gulcher,m.legulcher@student.roc.nl,21,M,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.753,0.717,33,5.0,7.9,Anita Jansen,a.jansen@roc.nl
20240310,Fabian Robbrechts Bruijne,f.robbrechtsbruijne@student.roc.nl,24,M,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.546,0.685,34,7.1,5.5,Fatima El Amrani,f.elamrani@roc.nl
20240311,Olivier Serra,o.serra@student.roc.nl,19,M,MBO niveau 3,Economie,Commercieel medewerker,90111,2024-2025,3,BBL,2024-09-01,0.645,0.748,51,6.8,3.3,Anita Jansen,a.jansen@roc.nl
20240312,Madelief Wooning,m.wooning@student.roc.nl,18,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.668,0.59,27,7.8,2.4,Peter Smit,p.smit@roc.nl
20240313,Yusuf Lamotte,y.lamotte@student.roc.nl,20,V,HAVO,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.63,0.695,40,6.1,7.4,Mohammed Boukhari,m.boukhari@roc.nl
20240314,Aya Brands,a.brands@student.roc.nl,18,V,VMBO-T,Economie,Logistiek medewerker,90640,2024-2025,3,BBL,2024-09-01,0.719,0.683,40,6.9,4.0,Jan de Vries,j.devries@roc.nl
20240315,Veerle Willemsen-Flink,v.willemsen-flink@student.roc.nl,17,M,VMBO-K,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.331,0.49,34,5.6,7.7,Fatima El Amrani,f.elamrani@roc.nl
20240316,Selina van Engeland,s.vanengeland@student.roc.nl,18,V,MBO niveau 2,Zorg,Verzorgende IG,93500,2024-2025,3,BBL,2024-09-01,0.95,0.88,40,7.6,5.3,Peter Smit,p.smit@roc.nl
20240317,Marinus Mol-Ernst,m.mol-ernst@student.roc.nl,20,V,MBO niveau 3,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BBL,2024-09-01,0.297,0.399,28,6.7,7.7,Peter Smit,p.smit@roc.nl
20240318,Suze Furda,s.furda@student.roc.nl,19,V,MBO niveau 3,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.882,0.775,32,7.8,5.4,Peter Smit,p.smit@roc.nl
20240319,"Dirk de Graaf-Werl-Arnsberg, van","d.degraaf-werl-arnsberg,van@student.roc.nl",19,M,VMBO-T,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.777,0.822,45,6.4,7.3,Mohammed Boukhari,m.boukhari@roc.nl
20240320,Joost Broekhoven,j.broekhoven@student.roc.nl,17,X,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.92,0.783,38,5.5,5.1,Fatima El Amrani,f.elamrani@roc.nl
20240321,Amy Totwiller,a.totwiller@student.roc.nl,19,M,VMBO-T,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.835,0.767,50,7.4,7.4,Jan de Vries,j.devries@roc.nl
20240322,Kay Driessen-Post,k.driessen-post@student.roc.nl,21,M,MBO niveau 3,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.785,0.75,37,6.7,6.3,Fatima El Amrani,f.elamrani@roc.nl
20240323,Kyan Heijmen-Stuivenberg,k.heijmen-stuivenberg@student.roc.nl,19,V,HAVO,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.709,0.787,51,5.8,6.3,Jan de Vries,j.devries@roc.nl
20240324,Esmee Vermeulen-Chevresson,e.vermeulen-chevresson@student.roc.nl,19,V,MBO niveau 3,Economie,Manager handel,90202,2024-2025,4,BBL,2024-09-01,0.866,0.767,50,6.9,5.0,Anita Jansen,a.jansen@roc.nl
20240325,Vigo Vegt-Boudewijns,v.vegt-boudewijns@student.roc.nl,16,V,HAVO,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.846,0.747,32,5.9,5.4,Peter Smit,p.smit@roc.nl
20240326,Jonathan Beernink,j.beernink@student.roc.nl,28,M,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.683,0.592,37,8.3,7.5,Jan de Vries,j.devries@roc.nl
20240327,Dean Merkx,d.merkx@student.roc.nl,18,M,VMBO-B,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.87,0.852,39,7.2,7.4,Jan de Vries,j.devries@roc.nl
20240328,Luka Korsman-Brouwer,l.korsman-brouwer@student.roc.nl,21,M,MBO niveau 3,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.751,0.578,35,6.6,5.8,Fatima El Amrani,f.elamrani@roc.nl
20240329,Tijmen Elsenaar,t.elsenaar@student.roc.nl,22,M,HAVO,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.885,0.832,41,7.7,7.5,Peter Smit,p.smit@roc.nl
20240330,Bradley Arnold,b.arnold@student.roc.nl,29,V,HAVO,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.414,0.622,29,4.8,6.6,Peter Smit,p.smit@roc.nl
20240331,Amy van Hagen-van der Lede,a.vanhagen-vanderlede@student.roc.nl,21,V,VMBO-K,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.96,0.737,44,5.9,3.7,Mohammed Boukhari,m.boukhari@roc.nl
20240332,Sem van der Laan,s.vanderlaan@student.roc.nl,18,M,VMBO-B,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.639,0.718,49,7.2,5.0,Anita Jansen,a.jansen@roc.nl
20240333,Mara Korstman,m.korstman@student.roc.nl,20,V,MBO niveau 3,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.672,0.557,42,6.7,5.8,Peter Smit,p.smit@roc.nl
20240334,Renske Booden,r.booden@student.roc.nl,17,V,VMBO-B,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.553,0.641,29,5.8,5.1,Fatima El Amrani,f.elamrani@roc.nl
20240335,Joëlle Geldens-Neuzerling,j.geldens-neuzerling@student.roc.nl,26,V,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.728,0.807,48,7.1,7.9,Jan de Vries,j.devries@roc.nl
20240336,Julie Bezemer-de Hoog,j.bezemer-dehoog@student.roc.nl,20,V,MBO niveau 2,Techniek,Installatiemonteur,25480,2024-2025,2,BOL,2024-09-01,0.44,0.518,27,6.6,7.4,Jan de Vries,j.devries@roc.nl
20240337,Angelina Uphuis,a.uphuis@student.roc.nl,18,M,MBO niveau 2,Groen,Medewerker voedsel,97590,2024-2025,2,BBL,2024-09-01,0.795,0.729,49,7.6,6.7,Mohammed Boukhari,m.boukhari@roc.nl
20240338,Maud Schelvis,m.schelvis@student.roc.nl,20,V,HAVO,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.549,0.543,38,5.1,5.8,Jan de Vries,j.devries@roc.nl
20240339,Louise Tielemans-Vierdag,l.tielemans-vierdag@student.roc.nl,24,M,HAVO,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.623,0.631,27,8.0,5.8,Peter Smit,p.smit@roc.nl
20240340,Sven le Guellec,s.leguellec@student.roc.nl,20,V,VMBO-B,Groen,Medewerker voedsel,97590,2024-2025,2,BBL,2024-09-01,0.764,0.792,50,4.7,7.2,Fatima El Amrani,f.elamrani@roc.nl
20240341,Jordy Holthuis,j.holthuis@student.roc.nl,16,M,VMBO-K,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.608,0.536,24,6.9,4.7,Fatima El Amrani,f.elamrani@roc.nl
20240342,Liz Wolters,l.wolters@student.roc.nl,17,V,MBO niveau 2,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.765,0.695,31,6.6,8.1,Jan de Vries,j.devries@roc.nl
20240343,Senna van de Wiel,s.vandewiel@student.roc.nl,17,V,MBO niveau 2,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.933,0.826,39,6.5,5.0,Anita Jansen,a.jansen@roc.nl
20240344,Elisabeth van Luyssel,e.vanluyssel@student.roc.nl,24,M,MBO niveau 3,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.632,0.718,44,5.5,7.2,Peter Smit,p.smit@roc.nl
20240345,Melissa le Gulcher-Billung,m.legulcher-billung@student.roc.nl,24,V,VMBO-T,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.936,0.839,49,7.1,5.5,Peter Smit,p.smit@roc.nl
20240346,Kyra Eerden,k.eerden@student.roc.nl,17,M,MBO niveau 3,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.603,0.599,36,6.6,4.1,Peter Smit,p.smit@roc.nl
20240347,Matthias Schatteleijn,m.schatteleijn@student.roc.nl,18,M,MBO niveau 3,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.711,0.672,40,6.9,6.0,Mohammed Boukhari,m.boukhari@roc.nl
20240348,Adam Haneberg,a.haneberg@student.roc.nl,21,V,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.878,0.817,47,5.3,6.2,Fatima El Amrani,f.elamrani@roc.nl
20240349,Milo Coolen-Bresé,m.coolen-bresé@student.roc.nl,22,V,MBO niveau 3,Zorg,Verzorgende IG,93500,2024-2025,3,BBL,2024-09-01,0.719,0.682,35,5.0,8.5,Jan de Vries,j.devries@roc.nl
20240350,Zakaria Claesner,z.claesner@student.roc.nl,16,V,HAVO,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.844,0.883,53,6.6,6.9,Jan de Vries,j.devries@roc.nl
20240351,Brent Kleijse,b.kleijse@student.roc.nl,23,V,VMBO-B,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.892,0.796,44,6.9,7.6,Jan de Vries,j.devries@roc.nl
20240352,Fien Bertho,f.bertho@student.roc.nl,20,V,HAVO,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.519,0.616,34,6.7,6.6,Mohammed Boukhari,m.boukhari@roc.nl
20240353,Jonathan van den Pol,j.vandenpol@student.roc.nl,17,X,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.81,0.618,39,4.6,5.6,Mohammed Boukhari,m.boukhari@roc.nl
20240354,Mehmet Wever,m.wever@student.roc.nl,16,M,MBO niveau 2,Dienstverlening,Kok,25185,2024-2025,2,BBL,2024-09-01,0.483,0.561,31,4.3,7.2,Peter Smit,p.smit@roc.nl
20240355,Aaliyah Roukes,a.roukes@student.roc.nl,16,M,VMBO-T,Zorg,Doktersassistent,34576,2024-2025,4,BBL,2024-09-01,0.473,0.618,26,6.2,6.3,Mohammed Boukhari,m.boukhari@roc.nl
20240356,Tristan Overdijk-van der Kint,t.overdijk-vanderkint@student.roc.nl,20,M,HAVO,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.773,0.748,41,6.3,5.8,Fatima El Amrani,f.elamrani@roc.nl
20240357,Dina Kunen-Schatteleijn,d.kunen-schatteleijn@student.roc.nl,21,M,HAVO,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.747,0.574,36,5.5,8.8,Anita Jansen,a.jansen@roc.nl
20240358,Annabel Goyaerts van Waderle,a.goyaertsvanwaderle@student.roc.nl,24,M,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BBL,2024-09-01,0.84,0.725,35,6.9,7.7,Fatima El Amrani,f.elamrani@roc.nl
20240359,Hannah Ferran,h.ferran@student.roc.nl,17,M,MBO niveau 3,Techniek,Netwerkbeheerder,93200,2024-2025,4,BBL,2024-09-01,0.936,0.769,43,7.6,6.3,Fatima El Amrani,f.elamrani@roc.nl
20240360,Maria Mathurin,m.mathurin@student.roc.nl,20,V,MBO niveau 2,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.981,0.927,51,7.6,3.9,Anita Jansen,a.jansen@roc.nl
20240361,Phileine Tammerijn,p.tammerijn@student.roc.nl,23,M,MBO niveau 3,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.959,0.785,48,8.1,5.1,Fatima El Amrani,f.elamrani@roc.nl
20240362,Ibrahim Elsenaar-de Keijser,i.elsenaar-dekeijser@student.roc.nl,19,M,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BBL,2024-09-01,0.923,0.846,45,6.9,8.0,Anita Jansen,a.jansen@roc.nl
20240363,Eliza Potters,e.potters@student.roc.nl,23,V,HAVO,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.552,0.671,37,8.8,7.0,Jan de Vries,j.devries@roc.nl
20240364,Tijmen Brands,t.brands@student.roc.nl,24,V,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.846,0.876,45,5.1,7.3,Mohammed Boukhari,m.boukhari@roc.nl
20240365,Florian van de Darnau-de Kok,f.vandedarnau-dekok@student.roc.nl,18,M,MBO niveau 3,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.393,0.487,31,6.2,6.8,Jan de Vries,j.devries@roc.nl
20240366,Jorn Postma,j.postma@student.roc.nl,16,M,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.338,0.535,33,5.6,6.0,Jan de Vries,j.devries@roc.nl
20240367,Jesse Cosman,j.cosman@student.roc.nl,17,M,MBO niveau 2,Economie,Manager handel,90202,2024-2025,4,BBL,2024-09-01,0.68,0.684,41,6.6,7.7,Anita Jansen,a.jansen@roc.nl
